Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-390
Date,"September 30, 1996"
Associated Legislation,H.R. 1786
Committee,Committee on Energy and Natural Resources
Calendar,596
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the Act (H.R. 1786) to regulate fishing in certain waters of Alaska, having considered the same, reports favorably thereon without amendment and recommends that the Act do pass."
