Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-380
Date,"September 30, 1996"
Associated Legislation,S. 1649
Committee,Committee on Energy and Natural Resources
Calendar,604
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 1649) to extend contracts between the Bureau of Reclamation and irrigation districts in Kansas and Nebraska, and for other purposes, having considered the same, reports favorably thereon with amendments and recommends that the bill as amended do pass."
