Collection,Congressional Reports
SuDoc Class Number,Y 1.1/5:
Publisher,U.S. Government Publishing Office
Report Type,Senate Report
Report Number,S. Rept. 104-376
Date,"September 30, 1996"
Associated Legislation,S. 695
Committee,Committee on Energy and Natural Resources
Calendar,600
Action,Ordered to be printed
Recommendation,"The Committee on Energy and Natural Resources, to which was referred the bill (S. 695) to provide for the establishment of the Tallgrass Prairie National Preserve in Kansas, and for other purposes, having considered the same, reports favorably thereon with an amendment and recommends that the bill, as amended, do pass."
